Startup,Website
Beco,https://www.letsbeco.com
Exponent Energy,https://www.exponent.energy
Charzer,https://www.charzer.com
Batx Energies,https://batxenergies.com
Clean Electric,https://www.cleanelectric.in
Living Things,https://livingthings.ai
RACEnergy,https://race.energy
AgriCapita Innotech,https://www.agricapita.com
Aerostrovilos Energy,https://www.aerostrovilos.com
Kamal Kisan (Simple Farms),http://kamalkisan.com
Cropway,https://www.cropway.com
Stellapps,https://www.stellapps.com
Veggie Champ,https://www.veggiechamp.in
Krishitantra,https://krishitantra.com
Polycyl,https://polycycl.com
Lithion Power,https://lithionpower.com
TGP Bioplastics,https://www.tgpbio.com
Vezlay,https://vezlay.com
Log9 Materials,https://www.log9materials.com
ProPlant,
EVage Motors,https://www.evagemotors.com
Craste,https://craste.co
Mister Veg,https://www.misterveg.com
1010 Solutions (Liquid Trees),https://liquidtrees.org
Kinetic Green,https://kineticgreen.com
GreenPod Labs,https://greenpodlabs.com
Naka Foods,https://4pmbar.com
Evera,https://www.everacabs.com
Serentica Renewables,https://www.serenticaglobal.com
Electra EV,https://electraev.com
White Cub,https://whitecub.in
Slicc,https://slicc.in
Cell Propulsion,https://cellpropulsion.com
Dog First,
Electrifi Mobility,https://electrifimobility.com
Nate's Indian Bistro,http://www.adf-foods.com
Ai-Genix,https://www.ai-genix.net
Kabira Mobility,https://www.kabiramobility.com
Voltanova,
Terramatter,https://terramatter.earth
MealTech,https://mealtech.in
Oizom,https://oizom.com
Euler Motors,https://www.eulermotors.com
Kazam,https://www.kazam.in
CanvaLoop,https://www.canvaloop.com
climateXcapital,https://www.climatexcapital.com
Apeiro Energy,https://apeiroenergy.com
Base'P Sustainable Foods,https://basepfoods.com
Aerem,https://www.aerem.co
Cropin,https://www.cropin.com
Loopworm,https://loopworm.in
Skymet Weather,https://www.skymetweather.com
Myoworks,https://www.myoworks.in
GreenJoules,https://www.greenjoules.in
Neat Meatt Biotech,https://neatmeatt.in
Mooving,https://www.mooving.com
Clear Meat,https://www.clearmeat.com
Proeon,https://proeon.co
Air OK Technologies,http://airoktech.com
Takachar,https://takachar.com
Prot (formerly Seaspire),https://eatprot.com
Cocoabuzzz,
XMACHINES,https://www.xmachines.ai
Oatey,https://oatey.in
Animall,https://animall.in
SolarSquare Energy,https://www.solarsquare.in
Statiq,https://www.statiq.in
Supplant Foods,https://www.supplantfoods.com
Laurus Bio,https://laurus.bio
InnoNano Research,http://rtbi.in
Detect Technologies,http://www.detecttechnologies.com
Ecozen,https://www.ecozensolutions.com
MyPlan8,https://myplan8.earth
Demolish Foods,http://demolishfoods.com
Hycosys,https://www.hycosys.in
AGEYE,http://www.ageyetech.com
Clairco,https://www.clairco.in
ZASTI India,https://www.zasti.ai
Funny Nani (Nayamylk),https://www.funnynani.com
Jivoule Biofuels,https://www.jivoule.com
Strive,https://www.strive.store
GalaxEye Space,https://www.galaxeye.space
Ishitva Robotic Systems,https://www.ishitva.in
Sentra World,https://sentra.world
Piatrika Biosystems,https://piatrika.com
Imagine Meats,https://www.imaginemeats.com
Briyas,http://briyas.com
Blue Tribe,https://www.bluetribefoods.com
Plantelo,https://www.plantelo.in
Evo Foods,https://evofoods.in
Live Yum,
Varaha,https://www.varaha.earth
Solar Ladder,https://www.solarladder.com
FarMart,https://www.farmart.co
Superplum,https://www.superplum.com
Piperleaf,https://www.piperleaf.in
Nutrifresh,https://nutrifresh.co.in
Pfood4Kids,https://www.nutriquofoods.com
Kheyti,https://www.kheyti.com
Esmito Solutions,https://esmito.co.in
Climes,https://www.climes.io
Hrimtron Energy Systems,https://www.hrimtronenergy.com
Yulu,https://www.yulu.bike
String Bio,https://www.stringbio.com
qZense Labs,https://www.qzense.com
TekUncorked,https://www.tekuncorked.com
GreenCell Mobility,https://greencellmobility.com
Bambrew,https://www.bambrew.in
altM,https://www.altm.bio
Vioma Motors,https://viomamotors.com
Oats'Up,https://www.oatsup.in
Infiction Labs,https://www.infictionlabs.com
Green Ecstasy Foods,http://veganta.in
CHUK,https://chuk.in
Mighty Food,https://themightyfood.com
SYS3E Technologies,https://www.sys3e.com
Turno,https://www.turno.club
