domain,Job Links,confidence,method,Unnamed: 4,Unnamed: 5,Unnamed: 6,Not found
https://www.cleanelectric.in,https://www.cleanelectric.in/careers,0.8,direct-path:url-hint,,,,305.0
https://www.exponent.energy,https://www.exponent.energy/careers,0.9,direct-path:url-hint,,,,
https://race.energy,https://race.energy/careers,0.7,direct-path:url-hint,,,,
https://batxenergies.com,https://batxenergies.com/careers,0.9,direct-path:url-hint,,,,
https://www.aerostrovilos.com,https://www.aerostrovilos.com/careers,0.7,direct-path:url-hint,,,,
https://www.letsbeco.com,https://kwickliving.keka.com/careers,0.9,nav-scan:url-hint,,,,
https://www.stellapps.com,https://www.stellapps.com/career/,0.7,nav-scan:url-hint,,,,
https://www.log9materials.com,https://www.log9materials.com/careers,0.7,direct-path:url-hint,,,,
https://livingthings.ai,,0.0,not-found,,,,
https://polycycl.com,,0.0,not-found,,,,
https://craste.co,https://craste.co/careers,0.8,direct-path:url-hint,,,,
https://lithionpower.com,,0.0,not-found,,,,
https://www.charzer.com,,0.0,not-found,,,,
https://greenpodlabs.com,https://greenpodlabs.com/careers,0.7,direct-path:url-hint,,,,
https://www.cropway.com,,0.0,not-found,,,,
https://vezlay.com,,0.0,not-found,,,,
https://www.agricapita.com,,0.0,not-found,,,,
https://electraev.com,https://electraev.com/careers,0.8,direct-path:url-hint,,,,
https://www.misterveg.com,,0.0,not-found,,,,
https://www.tgpbio.com,,0.0,not-found,,,,
https://liquidtrees.org,,0.0,not-found,,,,
https://krishitantra.com,,0.0,not-found,,,,
https://4pmbar.com,,0.0,not-found,,,,
http://www.adf-foods.com,http://www.adf-foods.com/careers,0.8,direct-path:url-hint,,,,
https://www.veggiechamp.in,,0.0,not-found,,,,
https://www.evagemotors.com,,0.0,not-found,,,,
https://terramatter.earth,https://terramatter.earth/careers,0.7,direct-path:url-hint,,,,
https://oizom.com,https://oizom.com/careers,0.8,direct-path:url-hint,,,,
https://www.eulermotors.com,https://www.eulermotors.com/careers,0.7,direct-path:url-hint,,,,
https://www.kazam.in,https://www.kazam.in/careers,0.7,direct-path:url-hint,,,,
https://www.canvaloop.com,https://www.canvaloop.com/jobs,0.7,direct-path:url-hint,,,,
https://whitecub.in,,0.0,not-found,,,,
