domain,job_url,confidence,method
https://race.energy,https://race.energy/aboutus#careers,0.7,direct:url-hint
https://www.cleanelectric.in,https://www.cleanelectric.in/careers,0.8,direct:url-hint
https://www.stellapps.com,https://www.stellapps.com/career,0.7,direct:url-hint
https://batxenergies.com,https://batxenergies.com/about/careers,0.9,direct:url-hint
https://www.letsbeco.com,https://www.letsbeco.com/pages/work-with-us,0.9,depth-1:url-hint
https://www.log9materials.com,https://www.log9materials.com/about/careers,0.7,direct:url-hint
https://livingthings.ai,,0.0,not-found
https://www.charzer.com,,0.0,not-found
https://craste.co,https://craste.co/about/careers,0.8,direct:url-hint
https://lithionpower.com,,0.0,not-found
https://polycycl.com,,0.0,not-found
https://krishitantra.com,,0.0,not-found
https://www.cropway.com,,0.0,not-found
https://vezlay.com,,0.0,not-found
https://electraev.com,https://electraev.com/about/careers,0.8,direct:url-hint
https://www.agricapita.com,,0.0,not-found
https://www.misterveg.com,,0.0,not-found
https://www.veggiechamp.in,,0.0,not-found
https://www.tgpbio.com,,0.0,not-found
http://www.adf-foods.com,http://www.adf-foods.com/about/careers,0.8,direct:url-hint
https://liquidtrees.org,,0.0,not-found
https://4pmbar.com,,0.0,not-found
https://www.evagemotors.com,,0.0,not-found
https://oizom.com,https://oizom.com/about/careers,0.8,direct:url-hint
https://www.kazam.in,https://kazam.energy/careers#jobs,0.7,direct:url-hint
https://whitecub.in,,0.0,not-found
https://www.canvaloop.com,https://www.canvaloop.com/jobs,0.7,direct:url-hint
https://mealtech.in,,0.0,not-found
https://www.everacabs.com,,0.0,not-found
https://www.serenticaglobal.com,,0.0,not-found
https://kineticgreen.com,,0.0,not-found
https://www.aerem.co,https://www.aerem.co/careers,0.7,direct:url-hint
https://cellpropulsion.com,,0.0,not-found
https://www.cropin.com,https://www.cropin.com/career,0.8,direct:url-hint
https://www.skymetweather.com,,0,not-found
https://www.ai-genix.net,,0.0,not-found
https://www.kabiramobility.com,,0.0,not-found
https://proeon.co,https://proeon.co/about/careers,0.75,direct:url-hint
https://electrifimobility.com,,0.0,not-found
https://takachar.com,https://takachar.com/career,0.8,direct:url-hint
https://slicc.in,,0.0,not-found
https://www.climatexcapital.com,,0.0,not-found
https://www.xmachines.ai,https://www.xmachines.ai/careers,0.75,direct:url-hint
https://loopworm.in,,0.0,not-found
https://animall.in,,0,not-found
https://www.solarsquare.in,https://recruitcareers.zappyhire.com/en/solarsquare,0.7,direct:url-hint
https://basepfoods.com,,0.0,not-found
http://airoktech.com,,0.0,not-found
https://www.statiq.in,,0,not-found
http://www.detecttechnologies.com,https://detecttechnologies.com/current-openings/,0.8,direct:url-hint
https://www.mooving.com,,0.0,not-found
https://www.ecozensolutions.com,https://www.ecozensolutions.com/careers,0.8,direct:url-hint
https://www.greenjoules.in,,0.0,not-found
https://myplan8.earth,https://myplan8.earth/careers,0.8,direct:url-hint
http://www.ageyetech.com,https://ageye.zohorecruit.com/jobs/Careers,0.7,direct:url-hint
https://neatmeatt.in,,0.0,not-found
https://www.clairco.in,https://www.clairco.in/careers,0.75,direct:url-hint
https://www.funnynani.com,https://www.funnynani.com/about/careers,0.7,direct:url-hint
https://www.zasti.ai,https://www.zasti.ai/career,0.7,direct:url-hint
http://kamalkisan.com,,0.0,not-found
https://eatprot.com,,0.0,not-found
https://www.myoworks.in,,0.0,not-found
https://www.ishitva.in,https://www.ishitva.in/about/careers,0.8,direct:url-hint
https://apeiroenergy.com,,0.0,not-found
https://piatrika.com,https://piatrika.com/about/careers,0.8,direct:url-hint
https://sentra.world,https://sentra.world/careers,0.8,direct:url-hint
https://oatey.in,,0.0,not-found
http://rtbi.in,,0.0,not-found
https://www.varaha.earth,https://www.varaha.earth/careers#joinus,0.7,direct:url-hint
https://www.solarladder.com,https://www.solarladder.com/about/careers,0.7,direct:url-hint
https://www.supplantfoods.com,,0.0,not-found
https://www.hycosys.in,,0.0,not-found
https://www.galaxeye.space,https://galaxeye.zohorecruit.in/careers,0.7,depth-1:url-hint
https://www.jivoule.com,,0.0,not-found
http://demolishfoods.com,,0.0,not-found
https://www.superplum.com,https://superplum.keka.com/careers,0.9,depth-0:links-to-ats
https://laurus.bio,,0.0,not-found
https://www.bluetribefoods.com,,0.0,not-found
https://www.strive.store,,0.0,not-found
https://www.yulu.bike,,0.0,not-found
https://www.farmart.co,,0.0,not-found
https://www.plantelo.in,,0.0,not-found
https://www.tekuncorked.com,https://www.tekuncorked.com/about/careers,0.7,direct:url-hint
https://greencellmobility.com,,0.0,direct:url-hint
https://nutrifresh.co.in,,0.0,not-found
